interview__id,responsible,unit_risk_score
216bb4ef30d04de1aff10f52497332f7,TZ_KanisiaK2,1.59
97c6bdfc21c04c6cb4b30653c4ee842c,TZ_MboyaM2,1.7
e1a4b2bb502f451aae2e6163082ff522,TZ_KanisiaK2,1.71
948bda2a1c4e4ae4889309fcf98c30c7,TZ_MansulaS2,1.96
baedf91fb28d46069bb036259e0978ac,TZ_JuliethM2,2.05
bbc5d1bc29504340860f4dd6b49022be,TZ_HappyM2,2.38
9d57a855fc4740e5b7bd5903bfe807ea,TZ_JenivaM2,2.43
d7aa265fa8b44f1884880e230d027295,TZ_KanisiaK2,2.46
06837bc71f454cd58954af713ec3aa25,TZ_KanisiaK2,2.5
eed80e3ceb0047d8985e196bf7a49da2,TZ_KanisiaK2,2.52
76b9c7eae5a848daaeff78ad83b9a7d2,TZ_UpendoG2,2.62
eed0d7b592da4a82b6a6e15146d08cb6,TZ_KanisiaK2,2.68
73ea339ac184487cb9f08a455c3f4653,TZ_MaryO2,2.75
7fe7bee1691e4493b34b4d237df0ec58,TZ_KanisiaK2,2.78
e0515e10fdad4844bb493baddb522fe9,TZ_KanisiaK2,2.94
ae331763958d455597dae8ce173ecfca,TZ_KanisiaK2,3.21
0429eb8473e347be921e79c8f5baa7d8,TZ_KanisiaK2,3.21
e7bb56cc9176483e8c732f1f263fde15,TZ_LabanB2,3.45
76411dd40a174caa9920f1c5f31de3f4,TZ_HappyM2,3.6
381862845c7146fdbb7df1e4fdf8b5ca,TZ_MboyaM2,4.05
32b106e11a50437c89847279ca7242c9,TZ_KanisiaK2,4.22
d5606ab670724010a1776dcb1b2c6f00,TZ_KanisiaK2,4.22
b07815ef0cad4ed183813f17d80027d4,TZ_PeterN2,4.32
a0bf0b98dc7e40429bb8c893d5579785,TZ_HappyM2,4.39
bf2eba4e9a6f4c3085fb73e6653ce012,TZ_LabanB2,4.49
c0db363964604a3faf2837b609f49b29,TZ_UpendoG2,4.55
9995d10599d74a35ae78e8a5777729fd,TZ_UpendoG2,4.67
a864594667d14a328a862a38b30056cd,TZ_KanisiaK2,4.78
ee550926dcf54e50b04122e00dc95cc0,TZ_UpendoG2,4.89
0e3cb75f46d34942a5f96b6fd42b6ec1,TZ_LabanB2,5.38
7b10b9ed93b24a0ea2e9a01222135fc9,TZ_MaryO2,5.58
ec6033ce21024378a4e074bbc0d6f8b1,TZ_HappyM2,5.63
f9d82c6bf4e74bb8b467e641b5ab4018,TZ_MboyaM2,5.67
f13eef25b8c641918bfe8eb61054104f,TZ_KanisiaK2,5.68
4b523ff5d44e476f9210eb7b81e0b102,TZ_PeterN2,5.75
7c57165a5d9e45d3b4c68d1e45f8a08f,TZ_LabanB2,5.79
b8641bb9dad14ddf8fb058961d660b3c,TZ_MboyaM2,5.81
7b38d7108c6c460aa0fcbc81a527534f,TZ_JenivaM2,6.25
603b9ca8a60f4b94aa40bc75f6d58137,TZ_MaryO2,6.36
ed0309392b1f4612ba988695fec346ad,TZ_HappyM2,6.4
a292fb00b58b409fbb599b38927ed2b5,TZ_MboyaM2,6.43
db805af005db401b8e316501ad5d0b59,TZ_UpendoG2,6.54
90910ab9f7114f1f9fd8ff1a83cedb4e,TZ_MboyaM2,6.73
5ec82a9390dd4460a55af4212547fde1,TZ_HappyM2,7.11
c5100560799148ec888f635e2d78fa61,TZ_PeterN2,7.19
fd0b7729862048f99796e43d69fa0dcc,TZ_HappyM2,7.21
3037a288f24b4d8dabcdae2f5b5f5a92,TZ_JenivaM2,7.26
184ed1d1c0d240d5ad84182c9ceccf59,TZ_UpendoG2,7.27
3cbb0ccfdaf343a19e5ef1b360e172a3,TZ_PeterN2,7.36
1c94025b47634f1792200f26ef562a4d,TZ_UpendoG2,7.55
c5bcda285e71482480679002dbbaca00,TZ_UpendoG2,7.8
fe70e123109e421ea16b58905fd3dcd5,TZ_LabanB2,8.49
04dcd985fb124891baff7af20774bbdf,TZ_MboyaM2,8.53
6e2a88d23ee14969af80cd402192a2a5,TZ_MaryO2,8.6
e684096d779b4a098e9bfc765b110749,TZ_LabanB2,8.98
6510593efe794d96ad869e6d02aef955,TZ_UpendoG2,9.02
584ffbbab308436fab7f68e81f826c6b,TZ_MaryO2,9.1
2e882a9b504c4a82a6429d95f2846049,TZ_LabanB2,9.2
bc9a7a012137480e87793dcb0bfb5034,TZ_MboyaM2,9.34
f5b9fff9053c41b0a77fca2fa2598110,TZ_UpendoG2,9.41
5284018c53974cd6b8c8b0f1588311b3,TZ_PeterN2,9.46
ad3fb92f025844dcbaa7986f86844945,TZ_UpendoG2,9.58
7c6852f7b04c43c082e5999d1361ecb7,TZ_PeterN2,10.27
2d79a632f2cd4d329297b64887adbef0,TZ_JenivaM2,10.72
9c98f66effb94c8fab73b32075c98121,TZ_PeterN2,10.8
b07081753c6e4cb58a8654b533298c1c,TZ_JenivaM2,10.89
505857f41497448fb2c10e9c0870d9d0,TZ_MaryO2,10.93
c0dc66cbd8a24108bb860adfb77b661d,TZ_JenivaM2,11.02
397af0abb4014ec197e5237c93de3f35,TZ_LabanB2,11.11
a14170141fc443029924758840e909f3,TZ_MboyaM2,11.31
f05c3169aea848abbcdce222921b3d3c,TZ_MaryO2,11.49
dd9bdeaa91df493d92095693d679102f,TZ_PeterN2,11.61
4d21c7e1feb9417780bcb8eadababb41,TZ_HappyM2,11.66
a3f54d03be784c1cb46258d45580e80e,TZ_HappyM2,11.74
6cef3b77aba9419880da69f1563b9a8d,TZ_JenivaM2,11.85
dbb5d172304a46698f77f0fd336967c1,TZ_UpendoG2,12.2
182223c89f734f72a14be3d856fd9b39,TZ_UpendoG2,12.26
d42a4029aeef47b69f7c7bc8f1eab486,TZ_UpendoG2,12.52
551138047dce43d8975b9e923ca9ba6a,TZ_UpendoG2,12.65
515412c723fa45b0920014c02788aee4,TZ_HappyM2,12.67
9c35d70fe17c401c9ff8091bf91cfea2,TZ_HappyM2,12.78
4e85629e71f7414488674d71ea8e35ae,TZ_LabanB2,12.79
9e742cfbed8b4694868bb7ceb587d08d,TZ_HappyM2,12.98
9a8a066431e94794a717733e0bfd2099,TZ_HappyM2,13.03
370ae7ec81484e3d9a15278fb06f5c9b,TZ_PeterN2,13.06
40c30f991bf34a89b52b351387983005,TZ_LabanB2,13.31
273817a6380f42b8b99e5b527c5f39ce,TZ_JenivaM2,13.83
acc97773475c48d19187754907022975,TZ_HappyM2,13.86
d670f1cb316b4f1b917ed3761498421b,TZ_UpendoG2,13.9
5264b48bb1654b988ac5fb81c8ae8bc2,TZ_LabanB2,13.93
5bf7c07517174d59844457ffbbbd0f18,TZ_LabanB2,14.11
3b7f8b2c9c6044f7a9065742d7fd9ea5,TZ_LabanB2,14.11
7b9cdd8117474bfaa7847fcd47e7ac24,TZ_UpendoG2,14.13
1dccd751617b4263bff3f4b6bf1b3bdf,TZ_MboyaM2,14.4
aa4956a5c6df41e9b8cd8e3e25b061fd,TZ_PeterN2,14.6
1cc1a98b03fc4844ab7a3f6b598b819a,TZ_MboyaM2,14.74
af234427447c40f8bf409c65d14c26b5,TZ_PeterN2,15.09
ec2906068c8b43d58ca1857211dca90d,TZ_MaryO2,15.12
86f9cd8cfeff4ce2897ca9b65a07a6d9,TZ_JuliethM2,15.69
97b5aa2d95ec425a843a976d075559d0,TZ_JuliethM2,15.7
44c336e3e3ff41ca9fce51dcb02f2500,TZ_LabanB2,15.74
296ca398f78d41f69829e7fbb682a825,TZ_PeterN2,15.75
6374af0cdbcd40d1b738b8573d9a46f4,TZ_PeterN2,16.31
a629861511b34b5290342b3ebd55727d,TZ_MboyaM2,16.32
d57da258156b4fa48335698d96f04755,TZ_HappyM2,16.5
73f9c2ef79e94a7e809a7d56699c163d,TZ_LabanB2,17.07
d9249029a1f4403f86cb2bcd6266de15,TZ_JuliethM2,17.13
176f5a66f31e4c96b8a3bc58037766a5,TZ_HappyM2,17.16
6b6ea6bd1a59430fae427be7ea861c87,TZ_LabanB2,17.46
b1313068f5654250832a8a7958084ffc,TZ_JuliethM2,17.61
c50360cfe6f54deb98d111a042b30ef7,TZ_LabanB2,17.62
5a1475dcc660418581b92cae8d10d2bd,TZ_UpendoG2,18.4
7229d580c31d46f28873b3e8db0ab3ff,TZ_UpendoG2,18.63
4b67eda32ac54722b3c62fc59bb6d5e3,TZ_JenivaM2,18.78
9e83f16495fb408abcfbe71446eb0807,TZ_UpendoG2,18.91
260488561f6740f08f40b9617293f1cf,TZ_PeterN2,19.49
5fe2d5e223a64001b1b170531bd28983,TZ_LabanB2,19.57
dc8f73ea3828467389ff4aacfed9aea5,TZ_HappyM2,19.86
417f95cda1de4767b19075b0ebb70159,TZ_MaryO2,19.88
d83f4dee862442e7be03f8a4012361bf,TZ_JenivaM2,20.35
585c1d7114fc4668b978a8d79e526f70,TZ_JuliethM2,20.37
c94cb6ccccb54982b6de30ef47789d97,TZ_MaryO2,20.5
f8521b93a78545f1a37d4d82106dd20b,TZ_LabanB2,20.69
328538d3111343398ccc368a37c2ed3b,TZ_HappyM2,21.17
38fc435ca93648f693acd90ce5e119d4,TZ_MaryO2,21.35
99b46dc33bb146369be31a2316fc024e,TZ_MboyaM2,21.52
18dfadc9d6ab4feb9ba6441ec0b378db,TZ_HappyM2,21.53
7b478877d41240f9a13296fb6395547f,TZ_PeterN2,21.55
a102eaf98c8a4074a0eece559a44ca69,TZ_PeterN2,21.55
cf8e09646fff40adb6bfccacc5689a40,TZ_JuliethM2,21.98
3c09d39c4cb3453f8f50a556b05de541,TZ_JuliethM2,22.32
af2c2521dc784ed4bb9993c57730b442,TZ_MboyaM2,22.79
9f8ecec247394244a9aecc4e30c4884b,TZ_LabanB2,23.32
f07f9a32f0b14730991f8e483028b887,TZ_MboyaM2,23.4
3ebe1252950e4a38a27ce04c271eff31,TZ_PeterN2,23.55
4ca53b817afc46e5b7db7c60d59d466d,TZ_MaryO2,23.58
eb5b75dc0c6c4aab8202b7326d77888a,TZ_UpendoG2,23.67
13d74d92315e4c96bdbae5d344b250d8,TZ_MaryO2,23.74
36321bf83c3d46a6b3c4620fa988ac50,TZ_PeterN2,23.84
e12b474c30fc4ddaa476767e14dfef6c,TZ_PeterN2,24.14
bf16d13e60d8455ebc828553801aca61,TZ_JuliethM2,24.58
5005235a226b49ecabdf11274b9978df,TZ_MboyaM2,24.63
7078db42de81491899c00d9b567f74de,TZ_PeterN2,25.0
3d83e0b18d14447ab07b9bf8cdb60633,TZ_LabanB2,25.21
91523364124d48219c202b4a7670039e,TZ_MboyaM2,25.3
8c2a63be59c848d482c33a3dc08c8841,TZ_JuliethM2,25.44
090a18ca51cd492ab3ebb658706bc02b,TZ_PeterN2,25.63
1b7daee334da4b36b4b1b1da737969e3,TZ_PeterN2,25.66
2db949aea5f6469f8a757f05a8d97b31,TZ_MaryO2,25.7
80b9de504e434fc9885ee9109d401d45,TZ_JenivaM2,25.84
4594e741aec1468ca598c997060f9693,TZ_UpendoG2,26.11
1ad91d889e164b718a13a506cd977719,TZ_JenivaM2,26.18
d9728e78934046f0993ff3b28c19533b,TZ_MaryO2,26.28
